date,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,open,close
2019-5-9,902.642,932.75,933.293,89061.65,67503.86,56293.54,875,858.81
2019-5-8,925.274,941.789,935.362,81267.08,62412.14,55028.88,860,884.4
2019-5-7,937.394,948.605,934.392,73546.02,57461.82,53723.35,893.28,890
2019-5-6,949.868,954.155,932.117,61338.84,49337.95,50834.33,925.5,906
2019-4-30,962.668,958.755,929.317,43364.3,39904.08,46740.7,968,974
2019-4-29,962.858,955.345,923.567,45946.07,40952.11,47990.27,945,971.97
2019-4-26,958.304,948.848,917.668,43557.21,40247.14,49908.35,946.3,945
2019-4-25,959.816,945.748,910.758,41377.63,40780.59,50622.81,968.79,952.37
2019-4-24,958.442,943.031,902.565,37337.06,42910.71,50773.11,979.88,970
2019-4-23,954.842,940.83,892.715,36443.87,45169.45,50391.54,951,974.95
2019-4-22,947.832,933.835,882.747,35958.14,45083.23,49812.46,959.5,949.2
2019-4-19,939.392,928.935,874.987,36937.08,47645.62,49306.94,943.96,952.56
2019-4-18,931.68,920.179,866.647,40183.56,49984.88,49316.62,945.41,945.5
2019-4-17,927.62,910.079,859.012,48484.36,52330.71,49892.57,938,952
2019-4-16,926.818,899.879,851.042,53895.03,53577.31,49886.26,904.9,939.9
2019-4-15,919.838,891.789,844.552,54208.31,55028.43,51631.03,931,907
2019-4-12,918.478,886.488,838.067,58354.16,59569.56,51974.93,909,914
2019-4-11,908.678,875.768,831.267,59786.2,60465.02,52652.95,948,925.2
2019-4-10,892.538,862.098,822.707,56177.05,58635.5,51625.89,903,947.99
2019-4-9,872.94,844.599,812.558,53259.59,55613.64,50860.67,903,905
2019-4-8,863.74,831.659,805.235,55848.55,54541.7,51114.05,900,900.2
2019-4-4,854.498,821.039,797.1,60784.96,50968.26,50415.21,840,865
2019-4-3,842.858,813.114,791.28,61143.84,48648.35,50635.62,840.12,844.5
2019-4-2,831.658,807.944,787.455,61093.95,47454.42,50819.35,859.99,850
2019-4-1,816.258,802.205,783.944,57967.68,46195.21,50399.52,860,859
2019-3-29,799.578,797.314,780.087,53234.85,48233.63,51582.09,835,853.99
2019-3-28,787.58,789.645,776.852,41151.56,44380.3,50227.41,793.43,806.8
2019-3-27,783.37,786.765,774.263,36152.86,44840.88,50198.38,781,788.5
2019-3-26,784.23,783.315,771.873,33814.89,44616.28,51355.12,780,773
2019-3-25,788.152,780.516,769.59,34422.74,46107.71,52373.57,786,775.6
2019-3-22,795.05,778.81,767.927,43232.41,47686.39,54641.18,788.22,794
2019-3-21,791.71,773.16,764.527,47609.05,49862.17,54410.74,788,785.75
2019-3-20,790.16,769.445,761.252,53528.9,52622.89,54274.6,790,792.8
2019-3-19,782.4,766.965,757.712,55417.67,54184.28,54612.84,803,792.61
2019-3-18,772.88,765.682,754.62,57792.69,54603.84,54056.17,778.8,810.09
2019-3-15,762.57,762.859,751.115,52140.38,54930.56,51877.52,776,777.3
2019-3-14,754.61,764.059,748.489,52115.28,56074.51,50419.39,757,778
2019-3-13,748.73,761.76,746.447,51716.88,55555.88,48923.67,745.5,754
2019-3-12,751.53,760.43,745.51,52950.88,58093.97,48679.45,763.82,745.01
2019-3-11,758.484,758.664,744.155,51414.99,58639.43,47808.52,740.04,758.54
2019-3-8,763.148,757.043,742.493,57720.73,61595.97,48062.7,737.9,737.5
2019-3-7,773.508,755.894,740.252,60033.73,58959.32,46974.97,762.22,748.6
2019-3-6,774.79,753.059,737.302,59394.87,55926.31,45800.77,775,768
2019-3-5,769.33,748.459,732.702,63237.05,55041.41,44599.2,785,779.78
2019-3-4,758.844,743.557,727.963,65863.87,53508.5,43874.8,795,781.86
2019-3-1,750.938,739.371,722.72,65471.2,48824.49,41450.64,761.5,789.3
2019-2-28,738.28,732.919,717.24,57884.91,44764.27,39707.95,737.9,755.01
2019-2-27,731.328,731.134,713.114,52457.74,42291.46,38316.4,733,740.7
2019-2-26,727.588,730.589,709.362,46845.76,39264.94,36700.53,747.8,727.35
2019-2-25,728.27,729.646,706.545,41153.13,36977.61,35908.41,730.75,742.33
2019-2-22,727.804,727.943,703.777,32177.79,34529.43,34129.87,717,726.01
2019-2-21,727.558,724.609,701.657,31643.63,34990.61,36264.89,720,720.25
2019-2-20,730.94,721.544,698.607,32125.17,35675.23,36286.61,735,722
2019-2-19,733.59,716.944,695.562,31684.11,34156.99,36496.68,740.96,730.76
2019-2-18,731.022,712.368,692.023,32802.1,34241.1,37809.84,731,740
2019-2-15,728.082,706.068,686.253,36881.07,34076.8,37204.99,734.88,724.78
2019-2-14,721.66,701.56,681.808,38337.6,34651.63,37987.3,731.2,737.16
2019-2-13,712.148,695.094,675.889,39225.29,34341.35,37826.59,723,735.25
2019-2-12,700.298,688.135,669.932,36629.87,34136.12,38537.35,723,717.92
2019-2-11,693.714,683.443,664.276,35680.1,34839.2,38224.69,695,725.3
2019-2-1,684.054,679.611,658.285,31272.52,33730.32,37055.16,697.04,692.67
2019-1-31,681.46,678.705,653.752,30965.67,37539.17,37413.3,680,689.6
2019-1-30,678.04,675.67,648.772,29457.41,36897.99,37127.34,684.99,676
2019-1-29,675.972,674.18,644.921,31642.38,38836.36,39106.67,677.5,685
2019-1-28,673.172,671.678,640.171,33998.3,41378.59,40773.45,684,677
2019-1-25,675.168,666.438,634.471,36188.11,40333.19,40442.99,675.88,679.7
2019-1-24,675.95,662.056,628.49,44112.68,41322.98,39886.98,670.3,672.5
2019-1-23,673.3,656.683,623.155,44338.58,41311.84,39758.86,667.22,665.66
2019-1-22,672.388,651.729,618.272,46030.34,42938.59,39033.11,686,671
2019-1-21,670.184,645.108,613.092,48758.87,41610.18,38459.03,690,686.98
2019-1-18,657.708,636.959,607.468,44478.27,40380,37453.48,665,683.61
2019-1-17,648.162,628.798,602.178,38533.27,37287.43,35308.82,663,659.25
2019-1-16,640.066,621.873,598.762,38285.1,37356.69,34755.69,658,661.1
2019-1-15,631.07,615.661,595.233,39846.83,39376.97,33896.3,627.86,659.98
2019-1-14,620.032,608.664,591.882,34461.48,40168.32,32335.78,633,624.6
2019-1-11,616.21,602.504,590.74,36281.73,40552.79,33073.31,625,635.88
2019-1-10,609.434,594.924,588.396,36041.58,38450.99,32125.17,617.13,618.77
2019-1-9,603.68,589.626,586.607,36428.27,38205.88,31488.81,609.99,616.12
2019-1-8,600.252,584.814,584.662,38907.11,35127.64,30226.23,605.5,604.79
2019-1-7,597.296,581.076,583.773,45875.16,35307.87,30126.4,608,605.49
2019-1-4,588.798,577.977,583.088,44823.85,34526.96,30276.8,587.28,602
2019-1-3,580.414,575.557,583.493,40860.4,33330.21,30472.04,599.97,590
2019-1-2,575.572,575.651,584.105,39983.5,32154.69,30496.86,609.98,598.98
2018-12-28,569.376,574.805,584.216,31348.17,28415.63,31553.27,563.3,590.01
2018-12-27,564.856,575.1,582.965,24740.58,24503.24,30819.88,570,563
2018-12-26,567.156,578.975,582.395,24230.07,25593.82,31598.67,563.81,560.08
2018-12-25,570.7,581.867,582.241,25800.02,25799.36,32092.26,562.22,565.79
2018-12-24,575.73,583.587,581.357,24325.88,24771.73,31774.31,563.5,568
2018-12-21,580.234,584.51,580.562,25483.08,25324.81,31774.82,571,567.41
2018-12-20,585.344,586.469,580.037,24265.89,24944.94,31249.11,576.22,574.5
2018-12-19,590.794,588.199,579.537,26957.58,26026.64,30962.73,589,577.8
2018-12-18,593.034,591.429,578.882,25798.69,27613.87,31032.3,585.88,590.94
2018-12-17,591.444,592.558,577.415,25217.58,28839.04,31418.35,592.57,590.52
2018-12-14,588.786,593.626,576.34,25166.54,34690.92,31982.52,598.01,592.96
2018-12-13,587.594,590.83,574.692,25623.98,37136.52,32201.74,590,601.75
2018-12-12,585.604,585.815,572.589,25095.71,37603.52,31723.44,588.79,589
2018-12-11,589.824,582.615,570.894,29429.04,38385.16,32815.7,577,582.99
2018-12-10,593.672,579.126,570.245,32460.5,38776.88,35321.32,576,577.23
2018-12-7,598.466,576.614,568.983,44215.3,38224.83,37480.5,595.6,587
2018-12-6,594.066,573.604,567.733,48649.06,37553.29,37355.26,600,591.8
2018-12-5,586.026,570.874,566.66,50111.33,35898.81,37155.54,597.5,610.1
2018-12-4,575.406,566.334,564.475,47341.28,34450.73,36981.52,602.99,602.23
2018-12-3,564.58,562.271,562.664,45093.27,33997.66,37686.13,589,601.2
2018-11-30,554.762,559.053,561.394,32234.37,29274.12,37291.25,557,565
2018-11-29,553.142,558.553,563.139,26457.52,27266.95,39298.58,566.03,551.6
2018-11-28,555.722,559.363,563.709,21686.3,25843.35,41950.44,550.85,557
2018-11-27,557.262,559.173,563.304,21560.17,27246.24,45407.79,552,548.1
2018-11-26,559.962,561.363,562.099,22902.06,31865.76,54615.93,558,552.11
2018-11-23,563.344,561.352,561.948,26313.87,36736.16,56113.72,564,556.9
2018-11-22,563.964,561.862,564.608,28076.39,37157.23,57873.78,565.15,564.5
2018-11-21,563.004,562.446,567.333,30000.4,38412.27,60591.53,554,564.7
2018-11-20,561.084,562.616,570.947,32932.31,39512.31,63041.81,565,561.6
2018-11-19,562.764,563.056,574.954,40829.46,41374.6,67850.28,560.3,569.02
2018-11-16,559.36,563.734,581.153,47158.46,45308.39,69696.75,561,560
2018-11-15,559.76,567.724,586.653,46238.06,51330.2,72059.77,558.8,559.7
2018-11-14,561.888,568.054,590.965,46824.13,58057.53,73125.91,569.96,555.1
2018-11-13,564.148,567.434,596.496,46092.32,63569.33,73191.42,546.12,570
2018-11-12,563.348,562.834,601.353,41919.74,77366.1,71189.65,553,552
2018-11-9,568.108,562.543,607.098,43458.31,75491.27,69578.8,567.22,562
2018-11-8,575.688,567.353,612.398,56422.34,78590.33,71085.59,574,570.34
2018-11-7,574.22,572.219,616.131,69290.94,82770.79,73976.5,569,566.4
2018-11-6,570.72,579.278,621.357,81046.34,86571.3,75226.02,574,566
2018-11-5,562.32,586.852,627.807,112812.45,94325.96,74958.86,593,575.8
2018-11-2,556.978,598.572,633.324,107524.23,94085.11,75320.25,585,599.9
2018-11-1,559.018,605.582,639.829,100758.32,92789.35,72616.89,555,563
2018-10-31,570.218,613.876,647.879,96250.65,88194.28,69736.98,527,548.9
2018-10-30,587.836,625.558,656.681,92096.25,82813.51,68507.13,510,524
2018-10-29,611.384,639.872,665.332,75839.46,65013.2,59819.29,549.09,549.09
2018-10-26,640.166,651.653,672.878,80645.98,63666.33,59496.35,619,610.1
2018-10-25,652.146,657.443,676.3,84820.38,63580.85,58105.96,620,619
2018-10-24,657.534,660.042,679.421,80137.91,65182.21,56738.63,628.11,636.99
2018-10-23,663.28,663.435,680.907,73530.76,63880.74,54825.93,689,641.74
2018-10-22,668.36,668.761,681.11,54186.94,55591.75,50125.94,675,693
2018-10-19,663.14,668.076,678.605,46686.68,56555.4,48515.52,638,670
2018-10-18,662.74,674.076,676.704,42341.32,52444.44,47091.21,660,645.94
2018-10-17,662.55,681.882,675.907,50226.5,51279.69,46541.27,675,665.72
2018-10-16,663.59,687.803,674.921,54230.72,54200.76,45362.26,665.98,667.14
2018-10-15,669.162,690.791,673.804,56996.57,54625.39,45102.69,669.49,666.9
2018-10-12,673.012,694.102,673.008,66424.11,55326.38,44784.33,651,668
2018-10-11,685.412,695.157,671.808,62547.56,52631.07,44179.23,635.01,644.99
2018-10-10,701.214,698.8,672.448,52332.88,48295.06,41049.3,697.26,670.92
2018-10-9,712.016,698.378,672.654,54170.79,45771.11,38971.42,686.9,695
2018-10-8,712.42,693.459,671.214,52254.21,44660.12,38469.27,715.41,686.15
2018-9-28,715.192,689.134,669.866,44228.64,40475.64,37281.06,726.7,730
2018-9-27,704.902,679.332,667.386,42714.58,41737.97,37215.99,727.5,724
2018-9-26,696.386,669.932,665.479,44257.24,41802.86,36560.76,702.1,724.93
2018-9-25,684.74,662.039,663.282,37371.42,36523.77,34570.82,695,697.02
2018-9-21,674.498,656.817,662.796,37066.03,35579.99,35439.67,682,700.01
2018-9-20,663.076,651.913,660.811,36722.63,34242.28,34613.32,685.2,678.55
2018-9-19,653.762,648.458,660.394,40761.36,35727.39,34605.21,666.58,681.42
2018-9-18,643.478,646.095,659.708,39348.47,33803.55,33227.9,643,666.7
2018-9-17,639.338,646.929,659.947,35676.11,32171.73,33947.41,645,645.81
2018-9-14,639.136,648.969,659.896,34093.96,32278.42,34934.38,633.98,642.9
2018-9-13,640.75,650.598,659.497,31761.93,34086.49,35218.1,638,631.98
2018-9-12,643.154,655.44,660.348,30693.42,32694.01,35829.44,643,630
2018-9-11,648.712,661.025,661.983,28258.63,31318.67,35521.42,645.57,646
2018-9-10,654.52,664.525,663.708,28667.35,32617.88,35631.42,652.2,644.8
2018-9-7,658.802,668.775,665.423,30462.88,35299.35,36299.83,645.5,650.97
2018-9-6,660.446,669.708,667.232,36411.05,34984.37,36028.71,652,644
2018-9-5,667.726,672.329,669.642,34694.6,33483.04,35634.47,675,657.79
2018-9-4,673.338,673.32,670.57,34378.72,32652.25,35669.57,666.8,675.04
2018-9-3,674.53,672.965,671.138,36568.41,35723.1,36546.83,652,666.21
2018-8-31,678.748,670.823,671.311,40135.82,37590.35,37300.24,676.25,659.19
2018-8-30,678.97,668.396,672.257,33557.69,36349.72,36718.04,688.21,680.4
2018-8-29,676.932,665.256,672.998,32271.48,38964.87,37778.7,682,685.85
2018-8-28,673.302,662.941,674.456,30925.77,39724.17,37670.39,693,681
2018-8-27,671.4,662.891,676.725,34877.8,38644.97,37080.12,662,687.3
2018-8-24,662.898,662.071,678.24,35044.88,37300.32,36787.86,669,660.3
2018-8-23,657.822,664.756,682.168,39141.74,37073.06,36529.02,671.7,670.21
2018-8-22,653.58,666.955,685.453,45658.26,37785.9,36314.52,671,667.7
2018-8-21,652.58,667.819,689.26,48522.57,38686.9,36367.94,647,671.49
2018-8-20,654.382,669.31,692.96,42412.14,37370.55,35845.92,632.45,644.79
2018-8-17,661.244,671.799,697.321,39555.75,37010.13,35201.8,657.5,634.92
2018-8-16,671.69,676.117,702.642,35004.37,37086.37,34400.5,652,649
2018-8-15,680.33,680.74,707.265,29913.55,36592.53,32307.43,679.8,662.7
2018-8-14,683.058,685.97,711.028,28851.22,35616.61,31783.66,679.22,680.5
2018-8-13,684.238,690.559,714.128,32328.97,35515.27,32089.12,683,679.1
2018-8-10,682.354,694.408,717.901,34464.51,36275.4,31984.34,691.88,687.15
2018-8-9,680.544,699.58,720.893,39168.38,35984.99,32238.81,671,692.2
2018-8-8,681.15,703.95,723.158,43271.51,34843.14,32523.02,687.02,676.34
2018-8-7,688.882,710.7,725.313,42382,34048.99,32252.68,672.3,686.4
2018-8-6,696.88,716.61,727.277,38701.58,34321.29,31748.92,677,669.68
2018-8-3,706.462,722.842,730.16,38086.28,33393.47,31515.15,695,678.1
2018-8-2,718.616,729.167,731.955,32801.61,31714.62,31356.13,715.97,695.23
2018-8-1,726.75,733.789,732.318,26414.77,28022.32,30962.25,731.4,715
2018-7-31,732.518,736.086,731.107,25715.97,27950.71,31599.89,720.3,726.39
2018-7-30,736.34,737.697,729.531,29941,28662.96,34707.57,738.9,717.59
2018-7-27,739.222,741.393,729.202,28700.65,27693.28,34476.89,736,738.87
2018-7-26,739.718,742.206,728.848,30627.63,28492.63,35077.68,748.9,735.9
2018-7-25,740.828,742.366,727.602,29629.87,30202.91,36466.01,746.95,743.84
2018-7-24,739.654,739.925,726.537,30185.44,30456.36,38243.72,732.68,745.5
2018-7-23,739.054,737.944,727.012,27384.93,29176.55,38482.19,736,732
2018-7-20,743.564,737.478,728.69,26685.92,29636.83,38330.4,741.5,741.35
2018-7-19,744.694,734.743,729.963,26357.63,30997.64,38245.72,739,741.45
2018-7-18,743.904,730.847,730.884,30775.94,33902.17,39300.92,742.43,737.97
2018-7-17,740.196,726.127,732.163,30727.29,35249.07,40366.73,757,742.5
2018-7-16,736.834,721.365,731.934,30968.17,40752.18,41986.23,752.3,754.55
2018-7-13,731.392,717.01,732.876,32587.73,41260.5,41947.87,742.3,747
2018-7-12,724.792,715.49,734.83,35637.65,41662.73,42310.5,718,737.5
2018-7-11,717.79,712.837,737.48,37028.4,42729.12,42064.21,710,719.43
2018-7-10,712.058,713.149,741.483,39770.86,46031.07,43614.65,729,725.69
2018-7-9,705.896,716.08,743.988,50536.18,47787.82,43991.5,720.03,727.34
2018-7-6,702.628,719.902,746.496,49933.27,47023.97,43710.79,707,714
2018-7-5,706.188,725.182,749.846,47687.81,45493.79,43461.35,700,702.49
2018-7-4,707.884,730.921,754.023,48429.83,44699.67,43553.63,692,690.77
2018-7-3,714.24,738.198,758.927,52291.29,45484.4,44285.58,709.76,694.88
2018-7-2,726.264,742.502,763.281,45039.46,43220.27,43834.02,734.52,711
2018-6-29,737.176,748.742,764.981,44114.67,42635.23,43765,712.3,731.8
2018-6-28,744.176,754.169,765.97,43299.78,42958.27,45711.18,714,710.97
2018-6-27,753.958,762.122,766.705,40969.5,41399.31,45026.84,752,722.55
2018-6-26,762.156,769.817,767.148,38677.5,41198.22,44202.95,765.31,755
2018-6-25,758.74,771.895,766.423,41401.08,40195.18,44014.31,766,765.56
2018-6-22,760.308,773.09,763.986,41155.8,40397.61,43693.18,754,766.8
2018-6-21,764.162,774.51,761.396,42616.76,41428.9,43771.25,765.22,759.88
2018-6-20,770.286,777.124,759.585,41829.12,42407.6,43225.56,741,763.54
2018-6-19,777.478,779.655,758.388,43718.93,43086.76,41783.61,769,737.92
2018-6-15,785.05,784.059,758.232,38989.27,44447.77,40226.79,773.2,773.4
2018-6-14,785.872,781.219,756.516,39639.41,44894.76,40104.16,790,786.07
2018-6-13,784.858,777.77,753.572,40241.05,48464.09,39722.08,800,790.5
2018-6-12,783.962,771.288,750.758,42986.07,48654.36,39499.62,778,799.5
2018-6-11,781.832,764.478,747.945,42454.59,47207.68,38638.06,776.05,775.78
2018-6-8,783.068,760.95,746.256,49906.27,47833.45,39361.42,780,777.51
2018-6-7,776.566,754.881,743.263,50150.11,46988.75,39570.58,789.98,781
2018-6-6,770.682,748.281,739.93,56687.12,46113.6,39576.88,788,786.02
2018-6-5,758.614,742.045,735.728,54322.65,44043.53,38744.96,786.5,788.85
2018-6-4,747.124,737.12,731.731,51960.77,40480.45,39238.36,752.35,781.96
2018-6-1,738.832,732.404,727.527,45760.62,36005.82,39827.64,751.13,745
2018-5-31,733.196,731.812,723.424,43827.39,35313.57,39887.55,730.25,751.58
2018-5-30,725.88,729.374,719.387,35540.08,30980.08,38111.23,727.22,725.68
2018-5-29,725.476,730.228,716.454,33764.4,30344.89,39766.83,738.8,731.4
2018-5-28,727.116,731.411,713.083,29000.14,30068.44,40621.58,718,740.5
2018-5-25,725.976,731.561,709.954,26251.01,30889.39,40233.71,712,716.82
2018-5-24,730.428,731.645,708.663,26799.75,32152.41,40170.75,720,715
2018-5-23,732.868,731.578,707.407,26420.07,33040.15,41014.06,740,723.66
2018-5-22,734.98,729.411,704.919,26925.37,33446.39,41233.58,735.22,739.6
2018-5-21,735.706,726.341,701.439,31136.74,37996.27,42459.22,744,734.8
2018-5-18,737.146,722.649,698.699,35527.76,43649.46,43216.62,723.99,739.08
2018-5-17,732.862,715.036,694.545,37505.06,44461.53,44884.69,735.12,727.2
2018-5-16,730.288,709.4,691.485,39660.23,45242.39,45217.43,740,734.22
2018-5-15,723.842,702.679,688.869,39967.4,49188.78,45324.66,746,743.23
2018-5-14,716.976,694.754,686.052,44855.81,51174.72,44799.34,724,742
2018-5-11,708.152,688.347,683.663,51771.15,49578.04,43784.29,718.69,717.66
2018-5-10,697.21,685.681,683.03,51417.99,48189.09,43113.36,703.5,714.33
2018-5-9,688.512,683.236,682.714,50824.54,48987.97,42750.84,709.08,701.99
2018-5-8,681.516,680.426,682.523,58410.15,49020.78,42675.94,698.03,708.9
2018-5-7,672.532,676.537,681.779,57493.62,46922.17,42395.61,659.95,697.88
2018-5-4,668.542,674.749,680.81,47384.92,42783.78,40127.82,670.98,662.95
2018-5-3,674.152,674.054,681.668,44960.19,45307.86,39860.98,666,670.84
2018-5-2,677.96,673.57,682.305,47151.4,45192.48,39871.67,660,667.01
2018-4-27,679.336,675.058,683.429,39631.42,41460.54,40312.81,685.25,663.98
2018-4-26,680.542,677.35,684.335,36350.71,38423.97,43094.04,692,677.93
2018-4-25,680.956,678.978,686.167,38182.65,37990.54,43719.06,689,691
2018-4-24,673.956,680.378,687.317,45655.52,38037.64,44769.26,676,689.88
2018-4-23,669.18,682.191,688.375,43233.56,36513.7,45032.47,666.01,673.89
2018-4-20,670.78,684.62,691.005,43289.66,36331.09,45273.86,681,670.01
2018-4-19,674.158,687.021,694.615,40497.22,37869.05,44535.41,659.85,680
2018-4-18,677,686.871,697.99,37798.43,37471.85,43768.89,671,656
2018-4-17,686.8,689.281,702.855,30419.75,34414.1,42571.39,685,666
2018-4-16,695.202,691.039,706.555,29793.85,34550.85,42605.53,680.58,681.89
2018-4-13,698.46,691.8,709.785,29372.52,39165.08,43765.98,698.5,686.9
2018-4-12,699.884,691.32,711.783,35240.88,47764.1,44256.29,704,694.21
2018-4-11,696.742,693.355,712.572,37145.27,49447.59,44649.47,710,705
2018-4-10,691.762,694.255,713.518,38408.45,51500.88,45357.73,704.8,708.01
2018-4-9,686.876,694.558,714.537,39307.86,53551.23,45264.12,697.1,698.18
2018-4-4,685.14,697.39,715.778,48957.64,54216.62,45489.93,682,694.02
2018-4-3,682.756,702.208,716.574,60287.32,51201.76,44375.16,678,678.5
2018-4-2,689.968,709.108,718.549,61749.9,50065.92,45591.9,680,680.1
2018-3-30,696.748,716.428,720.556,64593.3,50728.67,45851.68,686,683.58
2018-3-29,702.24,722.07,723.182,67794.6,50660.2,45324.26,682.2,689.5
2018-3-28,709.64,727.77,725.806,59475.6,48366.88,43609.9,699.97,682.1
2018-3-27,721.66,732.245,727.968,42116.2,40748.49,40349.44,723,714.56
2018-3-26,728.248,731.789,729.13,38381.95,39851.35,40102.1,708,714
2018-3-23,736.108,732.78,730.63,36864.05,39214.58,39972.21,701,711.04
2018-3-22,741.9,734.516,732.203,33525.8,36977,39252.81,744,726.5
2018-3-21,745.9,734.165,732.998,37258.16,36763.24,39916.69,750.11,742.2
2018-3-20,742.83,730.94,731.838,39380.77,37548.56,40112.19,750,747.5
2018-3-19,735.33,727.99,730.063,41320.75,41117.88,41337.78,743.97,753.3
2018-3-16,729.452,724.683,727.298,41565.11,40974.69,42613.43,747.6,740
2018-3-15,727.132,724.293,724.448,40428.21,39988.33,46099.57,728.02,746.5
2018-3-14,722.43,723.842,722.161,36268.31,38852.91,47462.6,709.67,726.85
2018-3-13,719.05,723.69,719.999,35716.35,39950.4,50009.31,723,710
2018-3-12,720.65,726.47,719.906,40915,40352.85,52488.89,729.55,723.91
2018-3-9,719.914,728.48,719.628,40384.26,40729.83,55444.27,727.55,728.4
2018-3-8,721.454,729.89,720.253,39548.44,41528.61,57706.76,714,722.99
2018-3-7,725.254,731.831,721.972,41437.51,43070.15,58468.42,715,709.95
2018-3-6,728.33,732.736,724.709,44184.46,42675.81,59758.75,725,718
2018-3-5,732.29,732.135,725.91,39790.69,41557.69,59125.78,738.18,720.23
2018-3-2,737.046,729.912,726.719,41075.4,44252.18,60990.82,738,736.1
2018-3-1,738.326,724.602,728.78,43508.77,52210.82,61890.14,728,741.99
2018-2-28,738.408,720.48,730.125,44702.78,56072.29,62152.45,732,725.33
2018-2-27,737.142,716.307,732.102,41167.17,60068.22,61900.85,749,737.8
2018-2-26,731.98,713.342,733.902,43324.7,64624.94,62248.23,746.88,744.01
2018-2-23,722.778,710.776,735.395,47428.96,70158.7,63421.66,747,742.5
2018-2-22,710.878,710.616,735.786,60912.86,73884.91,64060,727.3,742.4
2018-2-14,702.552,712.112,736.217,67441.8,73866.7,64470.69,720,719
2018-2-13,695.472,716.682,737.653,78969.28,76841.68,67473.54,705.02,711.99
2018-2-12,694.704,719.685,740.728,85925.19,76693.87,68075.49,691,698
2018-2-9,698.774,723.525,745.101,92888.45,77729.46,67490.17,680,683
2018-2-8,710.354,732.958,750.361,86856.96,71569.47,64510.67,682.2,700.77
2018-2-7,721.672,739.769,754.071,80291.59,68232.6,62873,720,683.6
2018-2-6,737.892,747.897,759.171,74714.08,63733.48,60844.22,703,708.15
2018-2-5,744.666,754.462,762.863,67462.54,59871.53,59665.38,727.22,718.35
2018-2-2,748.276,760.014,764.547,62570.48,56684.62,57325.82,752.22,740.9
2018-2-1,755.562,760.956,764.427,56281.98,54235.09,55554.23,767,757.36
2018-1-31,757.866,760.322,763.41,56173.6,55074.68,56635.35,739,764.7
2018-1-30,757.902,758.623,760.96,52752.88,58105.39,56216.2,736,742.02
2018-1-29,764.258,761.771,759.059,52280.51,59457.12,56101.27,778.76,736.4
2018-1-26,771.752,766.676,757.064,50798.76,57250.89,56176.44,767.24,777.33
