序号,工作内容,开始时间,完成时间,完成比例,备注
1,资产识别-已完成清单和价值计算,2022-04-01,2022-04-30,1,
2,应用场景构建-已完成场景建模,2022-05-01,2022-05-30,1,
3,威胁识别-已完成威胁梳理和等级判别,2022-06-01,2022-08-15,0.9,
4,威胁缓解机制分析与制定,2022-07-01,2022-08-30,0.8,
5,威胁验证-覆盖度与一致性校验,2022-08-01,2022-09-10,0.6,
6,威胁情报收集与整理,2022-06-15,2022-09-20,0.2,
7,应用场景威胁建模报告编写,2022-09-20,2022-09-25,0,提交自动驾驶域控制器应用场景威胁模型1套
8,芯片/PCB板/软件接口安全分析与后门排查测试用例研发,2022-07-01,2022-12-30,0.1,
9,SoC与通信模块间通信服务安全分析与测试用例研发,2022-08-01,2022-12-30,0.1,
10,CAN/Ethernet/诊断等通信数据包分析与测试用例研发,2023-01-01,2023-02-25,0,
11,应用框架、原子算法、第三方组件公开漏洞测试用例研发,2023-03-01,2023-03-30,0,
12,芯片安全配置/Fuzz测试用例研发,2023-03-15,2023-07-30,0,
13,CAN/Ethernet等通信安全测试Fuzz用例研发,2023-04-01,2023-08-30,0,
14,关键二进制文件逆向分析与测试用例研发,2023-05-01,2023-09-30,0,
15,机密数据/隐私数据分析与测试用例研发,2023-07-01,2023-08-30,0,
16,嵌入式OS安全基线分析与测试用例研发,2023-08-15,2023-10-30,0,
17,文件系统安全分析与测试用例研发,2023-10-01,2023-12-10,0,
18,信息安全漏洞测试用例及脚本汇总,2022-08-01,2023-12-20,0,
19,信息安全检测平台试运行,2023-12-01,2023-12-20,0,测试用例数量大于等于20。
20,域控制器SoC安全测试,2024-01-01,2024-01-30,0,
21,域控制器PCB安全测试,2024-01-15,2024-02-15,0,
22,域控制器系统固件（系统）安全测试,2024-01-20,2024-03-30,0,
23,域控制器系统固件（应用）安全测试,2024-02-01,2024-04-30,0,
24,域控制器各种通信安全测试,2024-03-10,2024-05-30,0,
25,域控制器数据安全测试,2024-04-01,2024-06-10,0,
26,信息安全测试汇总与报告编写,2024-06-10,2024-06-15,0,依托检测系统开展服务，形成检测报告不少于50份。
27,漏洞利用验证与漏洞修复,2024-07-01,2024-11-30,0,
28,漏洞数据汇总与整理,2024-02-01,2024-11-30,0,
29,信息安全漏洞库上线,2024-12-01,2024-12-20,0,漏洞数量大于等于1000，
,,,,,